song,lyrics,year
Stir Fry,,2018
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",,2018
A State Of Trance Year Mix 2018 (Mixed) - Outro: The Verdict,,2018
Surrender (Mixed),,2018
Russian Cream,,2018
Only Road (Mixed) - Cosmic Gate Remix,,2018
"Radetzky-Marsch, Op. 228",,2018
Running For Peace (Mixed),,2018
The 2018 Gaming Rap Up,,2018
Pretty Little Fears (feat. J. Cole),,2018
Faucet Failure,,2018
I Do (feat. SZA),,2018
Rubbin off the Paint,,2018
Every Season,,2018
You & Jennifer,,2018
Year End Party (2017),,2018
Ball For Me (feat. Nicki Minaj),,2018
"Un ballo in maschera, Quadrille, Op. 272",,2018
I'm Upset,,2018
Catch Me Outside,,2018
Grinding All My Life,,2018
New Patek,,2018
Man of the Year 2018,,2018
FlatBed Freestyle,,2018
Yearly Physical (Jfl 2008),,2018
One of Them Dudes,,2018
First Fridays,,2018
Hyphy Story,,2018
"Still Slappin (feat. Lil Uno, Lil B & Mozzy)",,2018
Don't Worry Be Hyphy (feat. G-Eazy & Clyde Carson),,2018
She Asked Me,,2018
Hood Rat Things,,2018
"84 Biarritz (feat. Too $hort, Husalah & ALLBLACK)",,2018
Andre Hicks (feat. Sumthin Terrible),,2018
Somuthafuckinloud (feat. Iamsu! & E-40),,2018
Bammer Bitch (feat. Slimmy B),,2018
Can't Kill Hyphy (feat. Keak Da Sneak & Dubee) - Remix,,2018
"Still Feelin' It (feat. Snoop Dogg, G-Eazy, Keak Da Sneak, Iamsu!, Nef The Pharaoh & Ezale) - Remix",,2018
Die Young,,2018
Sue Me,,2018
Neva Cared,,2018
2014 Was a Terrible Year,,2018
Yeah! (feat. Lil Jon & Ludacris),,2018
Gang Shit No Lame Shit,,2018
Girls Need Love (with Drake) - Remix,,2018
Fine China,,2018
Nuketown (feat. Juice WRLD),,2018
I Like Me Better,,2018
Married 28 Years (Jfl 2014),,2018
Swervin (feat. 6ix9ine),,2018
Self Care,,2018
Black & White,,2018
Wasted (feat. Lil Uzi Vert),,2018
worldstar money (interlude),,2018
10 Freaky Girls (with 21 Savage),,2018
Armed And Dangerous,,2018
SICKO MODE,,2018
Drip Too Hard (Lil Baby & Gunna),,2018
All Girls Are The Same,,2018
iSpy (feat. Lil Yachty),,2018
infinity (888) - feat. Joey Bada$$,,2018
1 Thot 2 Thot Red Thot Blue Thot,,2018
Gonna Love Me,,2018
Z4L (with Bari & Jay2),,2018
Jesus Year (Jfl 2017),,2018
Eastside (with Halsey & Khalid),,2018
Yes Indeed,,2018
Open for Me in Philadelphia (2011),,2018
Todd Practices Crying (2011),,2018
Still Ain't Got No Money (feat. Philthy Rich & Cookie Money),,2018
Look Alive (feat. Drake),,2018
Yacht Club (feat. Juice WRLD),,2018
No Role Modelz,,2018
Eastside (with Halsey & Khalid),,2018
"Wilhelm Tell Galopp, Op. 29b",,2018
Questions About Labradoodles (2010),,2018
Close Friends (Lil Baby & Gunna),,2018
Violent Crimes,,2018
Happy Birthday Blake (2010),,2018
One Year 4 Years - DJ Vortex Remix Radio Edit,,2018
One Year 4 Years - DJ Vortex Remix Radio Edit,,2018
Quit College Blake (2008),,2018
Seep - 2008 Master,,2018
Hello Are You There Blake and Labradoodles (2007),,2018
"Todd Does Radio, on Voicemail (2007)",,2018
Manny Xmas 2007,,2018
Religion vs Morality (2010),,2018
Dead and Cold,,2018
Take A Step Back,,2018
Pure Cocaine,,2018
Small Worlds,,2018
Girls Need Love,,2018
A State Of Trance Year Mix 2018 (Mixed) - Intro: License To DJ,,2018
Te Boté - Remix,,2018
Kevin’s Heart,,2018
Bergen (Mixed),,2018
Crazy Story,,2018
Savour This Moment (Mixed),,2018
"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",,2018
Body - Orjan Nilsen Remix,,2018
Body (Mixed) - Orjan Nilsen Remix,,2018
Lucky You (feat. Joyner Lucas),,2018
Potato Salad,,2018
Blockchain (Mixed),,2018
Me Too,,2018
Married Eleven Years (Jfl 2006),,2018
2000 Years,,2018
Medley: 1966 Lordship / 1967 Great Adios / 1968 Humprey / 1969 Spry / 1970 James / 1971 True Averil / 1972 Globe Bay / 1973 Arapaho / 1974 Robalan,,2018
Baby (Lil Baby feat. DaBaby),,2019
Far (Mixed) - Fisherman Festival Mix,,2019
My Type,,2019
Under The Sun (with J. Cole & Lute feat. DaBaby),,2019
wish you were gay,,2019
Lost & Found,,2019
"Vollgas ahoi - Live, 2010 Dortmund",,2019
Bird Life All Around,,2019
Knockin' Boots,,2019
QUE PRETENDES,,2019
Hot (Remix) [feat. Gunna and Travis Scott],,2019
Blame on Me,,2019
223's (feat. 9lokknine),,2019
"The King, the Writer & the MC Rhyme Piper",,2019
Face Value (2009 Version),,2019
Warp 2.0 (feat. Steve Aoki),,2019
stay classy (9-4-17),,2019
Out-Partying 20-Year-Olds (Jfl 2010),,2019
Нормальный Полный Парень - Remastered 2019,,2019
Enemies (feat. DaBaby),,2019
22-Year-Olds (Jfl 2014),,2019
Self Control,,2019
netflix vs. hulu (1-18-18),,2019
2014 Was a Terrible Year,,2019
On Chill (feat. Jeremih),,2019
Favorite Time Of Year,,2019
community college (8-5-17) [forest session],,2019
2008 (The New Year Song),,2019
"Crazy Story, Pt. 3",,2019
Whip A Tesla,,2019
The London (feat. J. Cole & Travis Scott),,2019
Goin Baby,,2019
Finer Things,,2019
Crazy Story,,2019
The Lonesome Boatman,,2019
Follow God,,2019
Whisper (Mixed),,2019
Love Me,,2019
all the good girls go to hell,,2019
prompostprometc (8-30-17),,2019
A State Of Trance Year Mix 2019 (Mixed) - Outro: Class Dismissed,,2019
Warp 1.9 (feat. Steve Aoki),,2019
23 Island,,2019
The Melody (Mixed),,2019
Space Journey (Mixed),,2019
Chosen 1,,2019
Great Spirit (Mixed),,2019
Ransom (with Juice WRLD) - Remix,,2019
boyfriend (with Social House),,2019
Sick Statistic,,2019
Envy Me,,2019
Start Wit Me (feat. Gunna),,2019
Hell N Back,,2019
Could've Been (feat. Bryson Tiller),,2019
Warp 2.0 (feat. Steve Aoki),,2019
Big Gangsta,,2019
The Theme (Mixed) - Binary Finary Remix,,2019
Hot Shower,,2019
Warp 1.9 (feat. Steve Aoki),,2019
my strange addiction,,2019
To the Sky,,2019
Hologram (Mixed),,2019
Anime Thighs,,2019
Homicide (feat. Eminem),,2019
223's (feat. 9lokknine),,2019
To the Sky,,2019
Kill This Love,,2019
Hold On,,2019
Hot (feat. Gunna),,2019
bury a friend,,2019
The Warriors (2012 Version),,2019
On the Run - 2019 remix [Live],,2019
Source (2011 Version) [feat. Lynette Elliott],,2019
One of These Days - 2019 remix [Live],,2019
OUT WEST (feat. Young Thug),,2019
Breaking Me,,2019
I Forgot That You Existed,,2019
Fisherman's Clothes (2011 Version),,2019
I Speak (2011 Version),,2019
Pop Out (feat. Lil Tjay),,2019
Sin Don't Like Me (2011 Version),,2019
bad guy,,2019
ORANGE SODA,,2019
The 2019 Gaming Rap Up,,2019
20 Years in Jersey (Jfl 2014),,2019
Psi 2000,,2019
Cash Shit (feat. DaBaby),,2019
Make No Sense,,2019
I Need Love (Mixed),,2019
Graduation (with Juice WRLD),,2019
GOODMORNINGTOKYO!,,2019
A State Of Trance Year Mix 2019 (Mixed) - Intro: Music Lesson with Mr. Briggs,,2019
TOES (feat. Lil Baby & Moneybagg Yo),,2019
LA CANCIÓN,,2019
Through Da Storm,,2019
Emergency (2011 Version),,2019
7 rings,,2019
MIDDLE CHILD,,2019
frankenstein (12-10-17) [first full band run through],,2019
"Radetzky-Marsch, Op. 228",,2019
End Parenthesis (Jason's Last Wild Year),,2019
Project Dreams,,2019
2000 Years,,2019
16-Year-Old Moms (Jfl 2013),,2019
I Need a Word (2011 Version),,2019
Superstition - Moon Rocket Funky Rmx,,2019
Light It Up,,2019
Photographic Eye,,2019
American Born,,2019
THC Vision,,2019
Phone Numbers,,2019
Trill Life,,2019
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",,2019
Bandit (with YoungBoy Never Broke Again),,2019
So Long,,2019
Ain't Meant to Be,,2019
Keep It Trill,,2019
L - Remastered,,2020
"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1",,2020
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
Alright Alright,,2020
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",,2020
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",,2020
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 2",,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
What You Know Bout Love,,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,,2020
2000 Years Later (This Is Work),,2020
Get Home,,2020
Dribble Down,,2020
Breaking Me,,2020
Lovers and Friends,,2020
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",,2020
Year 2000 Flow,,2020
WAP (feat. Megan Thee Stallion),,2020
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
Chicago Freestyle (feat. Giveon),,2020
New Years 2021,,2020
This Year (2021),,2020
Without Me (Cardio + Running Workout Mix),,2020
Youngblood (Cardio + Running Workout Mix),,2020
A State Of Trance (ASOT 997) - Armin van Buuren Introducing ASOT Year Mix 2020,,2020
Vamp Anthem,,2020
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",,2020
Adderall (Corvette Corvette),,2020
That’s It,,2020
The Code (feat. Polo G),,2020
"Itami - Live at Cafe Oto, June 11/09/2017",,2020
Alright Alright,,2020
Get Home,,2020
Nothing Is Over (Mixed) - Roman Messer Remix,,2020
New Year 2021,,2020
Happy Year 2021,,2020
2021 My Year,,2020
12 Years a Slave (Jfl 2014),,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",,2020
A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,,2020
"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1",,2020
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
Dribble Down,,2020
"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 2",,2020
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
New Years Eve 2021 Countdown,,2020
Happy New Year 2021,,2020
Happy New Year 2021,,2020
"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",,2020
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",,2020
Deep End,,2020
Each Year - Live in Kyoto 2010,,2020
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
Martin & Gina,,2020
"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1",,2020
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",,2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,,2020
Jupiter Boulevard (Mixed) - Taylor Torrence Remix,,2020
The Business,,2020
Adderall (Corvette Corvette) - Remix,,2020
Face Of My City (feat. Lil Baby),,2020
Tap In,,2020
You Got It,,2020
BOOKER T,,2020
It's So Sexy,,2020
Girls in the Hood,,2020
Rät,,2020
FRANCHISE (feat. Young Thug & M.I.A.),,2020
Don't Need Friends (feat. Lil Baby),,2020
3 Headed Goat (feat. Lil Baby & Polo G),,2020
Savage Remix (feat. Beyoncé),,2020
Back In Blood (feat. Lil Durk),,2020
Go Stupid,,2020
Sail (Mixed),,2020
Blood On My Jeans,,2020
After Tomorrow (Mixed),,2020
Rags2Riches 2 (feat. Lil Baby),,2020
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",,2020
Let The Music Guide You (ASOT 950 Anthem) [Mixed] - Beatsole Remix,,2020
LA NOCHE DE ANOCHE,,2020
Without Me (Cardio + Running Workout Mix),,2020
Cry Baby (feat. DaBaby),,2020
Hit the Dancefloor 2011,,2020
Happy New Year 2021,,2020
Happy New Year 2021,,2020
"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
Rescue (Cardio + Running Workout Mix),,2020
Handgun (feat. NoCap & Polo G),,2020
Zeus (feat. White Gold),,2020
New Years Eve 2021 Countdown,,2020
Mi Cuarto,,2020
Universal Love (FYHYM2020),,2020
BELIEVE IT,,2020
Fighting Demons,,2020
Destination (FYHYM2020) - Orjan Nilsen Remix,,2020
May I,,2020
"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",,2020
Funny Thing,,2020
Everything Everything (FYHYM2020),,2020
Get Back,,2020
Sum 2 Prove,,2020
Rewrite the Stars (Cardio + Running Workout Mix),,2020
2000 Years,,2020
Boss Bitch,,2020
Walk Em Down (feat. Roddy Ricch),,2020
A State Of Trance Year Mix 2020 (Mixed) - Road To 1000 - Outro,,2020
"A State Of Trance (ASOT 987) - ASOT Tune Of The Year 2019 Top 3, Pt. 2",,2020
2007,,2020
2007,,2020
"New Year's With The Wife - Live On The Ed Sullivan Show, July 31, 1966",,2020
Rescue (Cardio + Running Workout Mix),,2020
Four Years to Be an Artist - Live,,2020
2012,,2020
Follow Me (Ultrasoni'K 2011 Tech It Up Vox Mix),,2020
Glam Circüs - 2006,,2020
Love Yourself (Cardio + Running Workout Mix),,2020
2006,,2020
2000 Years,,2020
Rewrite the Stars (Cardio + Running Workout Mix),,2020
Year 2000,,2020
We Grind Everyday 2013,,2020
2015 Year Old Man - Digitally Remastered,,2020
Favorite Day of the Year,,2020
Let Me In M'lady,,2020
Love Yourself (Cardio + Running Workout Mix),,2020
2021 My Year,,2020
Corsten's Countdown 652 Intro,,2020
Budapest (CC652),,2020
Tokyo (CC652),,2020
Hate Crime,,2020
"Intro To Night In The City - Live at The 2nd Fret, Philadelphia, PA, 11/1966",,2020
"Intro To The Circle Game - Live at The 2nd Fret, Philadelphia, PA, 11/1966",,2020
"Intro To Urge For Going - Live at The 2nd Fret, Philadelphia, PA, 11/1966",,2020
"What's The Story Mr. Blue - Live at The 2nd Fret, Philadelphia, PA, 11/1966",,2020
Happy Year 2021,,2020
New Year 2021,,2020
New Years 2021,,2020
This Year (2021),,2020
"Intro To What's The Story Mr. Blue - Live at The 2nd Fret, Philadelphia, PA, 11/1966",,2020
Said Sum,,2020
"A State Of Trance (ASOT 992) - Pre-Order: A State Of Trance Year Mix 2020, Pt. 1",,2020
Eyes Blue Like The Atlantic (feat. Subvrbs),,2020
Rescue (Cardio + Running Workout Mix),,2020
Life Is Good (feat. Drake),,2020
Cat Girls Are Ruining My Life!,,2020
2020年バーチャル年越しASMR RADIO[時間合わせ12月31日23時29分43秒から],,2020
Go2DaMoon (feat. Kanye West),,2020
Hawái,,2020
Dance (A$$),,2020
Buss It,,2020
New Years Eve 2013 - Original Mix,,2020
Fly To My Room,,2020
BLIND (feat. Young Thug),,2020
Funniest Moments,,2020
Said Sum (feat. City Girls & DaBaby) - Remix,,2020
Blue World,,2020
A State Of Trance (ASOT 997) - Outro,,2020
Blue Steps,,2020
"A State Of Trance (ASOT 992) - Pre-Order: A State Of Trance Year Mix 2020, Pt. 2",,2020
One Thing Right (Cardio + Running Workout Mix),,2020
Toosie Slide,,2020
Still Trappin' (with King Von),,2020
Stay Next To Me (with Chelsea Cutler),,2020
2020年バーチャル年越しASMR RADIO[時間合わせ12月31日23時29分43秒から],,2020
Rescue (Cardio + Running Workout Mix),,2020
"A State Of Trance (ASOT 990) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",,2020
Youngblood (Cardio + Running Workout Mix),,2020
"A State Of Trance (ASOT 990) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
On Me,,2020
"A State Of Trance (ASOT 990) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
Mr. Right Now (feat. Drake),,2020
"A State Of Trance (ASOT 989) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
POPSTAR (feat. Drake),,2020
"A State Of Trance (ASOT 989) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
Mood Swings (feat. Lil Tjay),,2020
Drankin N Smokin,,2020
Breaking Me,,2020
"A State Of Trance (ASOT 988) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",,2020
Miss YOU!,,2020
"A State Of Trance (ASOT 988) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",,2020
21,,2020
Godzilla (feat. Juice WRLD),,2020
We Paid (feat. 42 Dugg),,2020
Took Her To The O,,2020
Hawái - Remix,,2020
Dance (A$$),,2020
Blue Steps,,2020
A State Of Trance (ASOT 996) - Tune Of The Year Top 10,,2020
Captain Hook,,2020
Take It To Trial (feat. Yak Gotti),,2020
Me and My Guitar,,2020
A State Of Trance (ASOT 996) - Last Show Of The Year,,2020
Costa Rica (feat. The Kid LAROI) - Remix,,2020
A State Of Trance (ASOT 994) - A State Of Trance Year Mix 2020 Contest,,2020
A State Of Trance (ASOT 997) - Intro,,2020
A State Of Trance (ASOT 997) - ASOT Year Mix 2020 Outro,,2020
A State Of Trance (ASOT 996) - ASOT Year Mix 2020 Contest,,2020
"A State Of Trance (ASOT 996) - Previous Tunes Of The Year, Pt. 2",,2020
A State Of Trance (ASOT 995) - A State Of Trance Year Mix 2020,,2020
Onna Come Up,,2020
The Bigger Picture,,2020
A State Of Trance (ASOT 996) - We Wish You A Merry Christmas And A Happy New Year,,2020
WRONG (feat. Lil Mosey),,2020
Life Is Good (feat. Drake),,2020
A State Of Trance (ASOT 993) - Pre-Order: A State Of Trance Year Mix 2020,,2020
"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",,2020
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",,2020
Holy (feat. Chance The Rapper),,2020
HOY COBRÉ,,2020
Romantic 2021,,2021
Suave Moods for 2021,,2021
Year In Gaming 2020,,2021
New Year 2021 - New Year's Remix,,2021
Background for 2021,,2021
Romantic 2021,,2021
Sigo Extrañándote,,2021
LA CANCIÓN,,2021
Superlative Jazz Piano Solo - Vibe for 2021,,2021
Jazz Piano Soundtrack for New Years Resolutions,,2021
Background for 2021,,2021
Exquisite Moods for 2021,,2021
New Year's Resolutions for 2021,,2021
Serene Backdrops for 2021,,2021
Spacious Music for 2021,,2021
Jazz Piano Soundtrack for 2021,,2021
Background for New Years Resolutions,,2021
Jazz Piano Soundtrack for 2021,,2021
QUE PRETENDES,,2021
Sigo Extrañándote,,2021
Jazz Piano Soundtrack for 2021,,2021
Spirited Ambiance for 2021,,2021
Chilled 2021,,2021
New Year 2021,,2021
Jazz Piano Soundtrack for 2021,,2021
Suave Moods for 2021,,2021
Neujahrsgruß / New Year's Address / Allocution du Nouvel An,,2021
New Year 2021,,2021
Spirited Ambiance for 2021,,2021
QUE PRETENDES,,2021
High Class 2021,,2021
Spacious Music for 2021,,2021
The Road So Far (Year in Review 2020),,2021
Shaky Shaky,,2021
High Class 2021,,2021
Gasolina - Live,,2021
Gasolina - Live,,2021
Llegamos A La Disco,,2021
Shaky Shaky,,2021
Flashback - Leon Louder Remix,,2021
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",,2021
Chilled 2021,,2021
Exquisite Moods for 2021,,2021
Gasolina - Live,,2021
Shaky Shaky,,2021
Shaky Shaky,,2021
Shaky Shaky,,2021
Shaky Shaky,,2021
Gangsta Zone,,2021
Sigo Extrañándote,,2021
Happy New Year 2021 - Instrumental,,2021
Weekendt-Mix HappyNew Year 2021,,2021
Yearly Review 2020,,2021
Gangsta Zone,,2021
"January 6th, 2021 (5 Years)",,2021
Shaky Shaky,,2021
Cool - Leonardo La Mark Remix,,2021
Shaky Shaky,,2021
Gangsta Zone,,2021
Castles in the Sky (Year in Review 2020),,2021
Neujahrsgruß / New Year's Address / Allocution du Nouvel An,,2021
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",,2021
"January 6th, 2021 (5 Years)",,2021
LA CANCIÓN,,2021
New Year 2021,,2021
Weekendt-Mix HappyNew Year 2021,,2021
Happy New Year 2021 - Instrumental,,2021
Background for New Years Resolutions,,2021
Happy New Year 2021,,2021
New Year 2021 - New Year's Remix,,2021
Background for 2021,,2021
Superlative Jazz Piano Solo - Vibe for 2021,,2021
New Year 2021,,2021
Jazz Piano Soundtrack for New Years Resolutions,,2021
Background for 2021,,2021
Serene Backdrops for 2021,,2021
Shaky Shaky,,2021
Gangsta Zone,,2021
Shaky Shaky,,2021
Sigo Extrañándote,,2021
Love Yourself,,2021
QUE PRETENDES,,2021
QUE PRETENDES,,2021
Happy New Year 2021,,2021
Gangsta Zone,,2021
Llegamos A La Disco,,2021
Play Me," Everybody's an Enemy telling me lies and it's killing me why they all want to get rid of me Everybody's my enemy Several try to disguise the devil in them Wanting to get into my cerebellum but I'm Ready and willing to tell them that I can't f with them Exhale so hard it got my chest swelling like my dick does when watching nikkid women do sick stuff on my porn collection on television Trust nobody I don't know who to call a friend they all just pretend to be Fuck Everybody this is to all of ya'll cuz everybody is an enemy Watching my own back strapped in chrome, to my homies where the tombstones at, where the hoes at? Cuz to many didn't act like dikes, hermaphrodites with benzene, amen Look at the trash they biting The life in times is kinda weaker like the time and life of the sandman on Apollo theater imagine that another black with a hook who pulls the wack talent off the stage I'm enraged Trust nobody I don't know who to call a friend they all just pretend to be Fuck Everybody this is to all of ya'll cuz everybody is an enemy You fill your lies around me and you think you've won You feel you can control me with the things you've done You think that you can take me you think that you can play me you're going to start to hate me I feel that you disgraced me Trust nobody I don't know who to call a friend they all just pretend to be Fuck Everybody this is to all of ya'll cuz everybody is an enemy ",1920
SERTRALINE," Five Flucloxacillin rattle in the pit of my purse Among the ones and the twos, I never finished a course Doctor said, ""Don't drink on antibiotics"" Reply, ""It doesn't matter, hangover's always chronic anyway"" A peloton of OAPs cycling up behind me Shouting, ""Step up your paces, we've got places to be"" A pile-on of OAPs crashing in my slipstream I turn, ""Shut up your faces, I'm not your domestique"" They say if they had got the victory They'd act with so much more humility They say if they had got the victory Well, I guess we'll never know Am I a piggy bank of obsolete currency? An order of merit from country known for tyranny? Another blister pack pops, but I still feel much the same Thirty-one, and depression is a young man's game Found a fiver screwed up inside a prescription receipt From the salbutamol (No, a gift from the sertraline) Hallowed be somnolence brought on by the tramadol Damned be the knowledge that's it, now you have tried 'em all A peloton of OAPs cycling up behind me Shouting, ""Step up your paces, we've got places to be"" A pile-on of OAPs crashing in my slipstream I turn, ""Shut up your faces, I'm not your domestique"" They say if they had got the victory They'd act with so much more humility They say if they had got the victory Well, I guess we'll never know Well, I guess we'll never know Well, I guess we'll never know Well, I guess we'll never know ",1920
Крысы,,1920
Bébé," It's got to be you reading my letter Not your hired hand I don't know how to say it no better I love you and the band Never heard rockin' like you could Howling like you can It gets me thinking of Johnny B. Goode But you know you ain't no man When I heard you play I knew your name should be changed We're all dog panicked and you are to blame Everybody ought to call you bebe le strange You look so insane We gave you a name bebe le strange I wish I knew what you're really like A touch so shy and fine But the way you move with that guitar Just gives me other signs Here's my number give me a sign Call me back if this gets through bebe, bebe, bebe, bebe I'd never say no to you When I heard your song I knew your name should be changed Everybody ought to call you bebe le strange Under my skin you've got my mind rearranged You're so insane bebe's so strange bebe le strange ",1920
Foolin', If you're doing it for yourself And you don't care what they think I can understand having a little fun It really makes no difference to me Now you're taking it too far Why can't you see That being strung out for two weeks just to be with them is being someone you never wanted to be I don't care that you turned your back on me I do care that your turned your back on you turned your back on me Yeah you're doing it for yourself And you don't care what they think Cause you're searching for something That you will never find Something you'll never reach Guess whose making it too far Why can't you see That being strung out for two weeks Just to be with them is being Someone you never wanted to be...... ,1920
Mago," Una Noche más en la ciudad, de fondo queda el ruido de algún bar grumete a la deriva en un tapón de soledad, que quema el aire y mas. Surcando las calles sin rumbo fijo entraste en mal lugar cargado el ambiente, miradas oscuras, no puedes respirar, solo dos ojos desde la barra te invitan a sonar sientes en tu rostro algo parecido a la brisa del mar. Y ves venir un cuerpo de mujer hacia ti Y empieza a brillar la luz de tu corazon mientras unos labios se apoderan lentamente de ti y una ventana a ninguna parte se ha comenzado a abrir. Y ves venir un cuerpo de mujer hacia ti Y empieza a brillar la luz de tu corazon mientras unos labios se apoderan lentamente de ti y una ventana a ninguna parte se ha comenzado a abrir ",1920
